time delta group
101 0 1
104 0 1
104 0 1
77 0 1
89 0 1
88 1 1
104 1 1
96 1 1
82 0 1
70 1 1
89 1 1
91 0 1
39 1 1
103 1 1
93 0 1
85 0 1
104 0 1
104 0 1
81 0 1
67 1 1
104 0 1
104 0 1
104 0 1
87 0 1
104 0 1
89 0 1
78 0 1
104 0 1
86 1 1
34 1 1
76 0 1
103 1 1
102 1 1
80 1 1
45 1 1
94 1 1
104 0 1
104 0 1
76 0 1
80 1 1
72 1 1
73 1 1
92 1 1
104 0 1
55 0 1
49 0 1
89 1 1
88 0 1
103 1 1
104 0 1
104 0 0
104 0 0
104 0 0
97 0 0
104 0 0
104 0 0
94 0 0
104 0 0
104 0 0
104 0 0
91 0 0
92 0 0
50 1 0
91 0 0
104 0 0
104 0 0
104 0 0
104 0 0
104 0 0
104 0 0
104 0 0
104 0 0
83 0 0
104 0 0
104 0 0
104 0 0
104 0 0
81 1 0
94 0 0
104 0 0
87 0 0
84 1 0
104 0 0
104 0 0
104 0 0
104 0 0
104 0 0
101 1 0
84 1 0
80 1 0
104 0 0
104 0 0
104 0 0
98 0 0
104 0 0
83 0 0
104 0 0
99 0 0
104 0 0
104 0 0
49 1 0
102 0 0
104 0 0
79 0 0
104 0 0
96 1 0
77 1 0
104 0 0
77 0 0
77 0 0
90 0 0
70 0 0
45 0 0
69 0 0
103 0 0
72 0 0
63 0 0
74 0 0
69 0 0
68 1 0
104 0 0
104 0 0
40 1 0
104 0 0
104 0 0
104 0 0
104 0 0
64 1 0
55 1 0
54 1 0
74 0 0
73 1 0
80 0 0
73 0 0
79 0 0
104 0 0
104 0 0
94 0 0
78 1 0
76 0 0
95 0 0
66 1 0
102 1 0
78 0 0
104 0 0
77 0 0
104 0 0
79 0 0
91 0 0
79 1 0
